iter	Logloss
0	0.6893470554
1	0.6861733498
2	0.6830318502
3	0.6798453402
4	0.6764100812
5	0.6736602239
6	0.6713919464
7	0.6689883019
8	0.6666438723
9	0.6651263029
10	0.6632632576
11	0.661406264
12	0.6598085408
13	0.657977238
14	0.6567049365
15	0.6550157284
16	0.653262405
17	0.6519724893
18	0.6505529016
19	0.6493509737
20	0.6483525184
21	0.6470633495
22	0.6461159107
23	0.645530914
24	0.6444982976
25	0.6436209148
26	0.6430707548
27	0.6423759783
28	0.6415445772
29	0.6407248647
30	0.640178346
31	0.6397227912
32	0.6391995626
33	0.6384733384
34	0.6378690012
35	0.6372426104
36	0.6367188079
37	0.6361198934
38	0.6353467612
39	0.6348752417
40	0.6342984835
41	0.6334958059
42	0.6327402971
43	0.6320284603
44	0.6310252818
45	0.6306613036
46	0.6303778137
47	0.6298588294
48	0.6294838703
49	0.6288886569
50	0.6281770769
51	0.6279477263
52	0.6276397222
53	0.6269109429
54	0.6259520602
55	0.625243825
56	0.6248696543
57	0.62448932
58	0.6241406165
59	0.6237035021
60	0.6233391563
61	0.623079153
62	0.6224427396
63	0.6221797936
64	0.621891875
65	0.6216137122
66	0.6212339884
67	0.6208906331
68	0.6203462886
69	0.6199539166
70	0.6191498938
71	0.6188377515
72	0.6186028998
73	0.6182593514
74	0.617920094
75	0.6170248393
76	0.6167005954
77	0.6163901248
78	0.6156594498
79	0.6153031486
80	0.6147439465
81	0.6143539381
82	0.613638817
83	0.6133152657
84	0.6127620356
85	0.612318011
86	0.6119354008
87	0.6116990182
88	0.6111051122
89	0.6109167719
90	0.6104020538
91	0.6100491413
92	0.6096636989
93	0.6093648877
94	0.6090934887
95	0.6084007867
96	0.6080677011
97	0.6076892115
98	0.6071802437
99	0.6069933182
100	0.6067665638
101	0.6062317435
102	0.6059311684
103	0.6054325488
104	0.6052122583
105	0.6048391689
106	0.604501334
107	0.6040641561
108	0.6036651564
109	0.6030790373
110	0.6028647616
111	0.6024173651
112	0.6022382154
113	0.6020732749
114	0.6017533843
115	0.6010622246
116	0.6007983075
117	0.6004768345
118	0.6003017516
119	0.60010662
120	0.5996547419
121	0.5994184209
122	0.599235395
123	0.5988888906
124	0.5985202026
125	0.5981291548
126	0.5978859844
127	0.5974062932
128	0.5972447536
129	0.596927326
130	0.5965057557
131	0.5961618386
132	0.5958386437
133	0.5956752839
134	0.5952322534
135	0.5949012527
136	0.5946763206
137	0.5942610117
138	0.594013853
139	0.5937323213
140	0.59338352
141	0.5928247237
142	0.5925066443
143	0.5920191735
144	0.5915918536
145	0.5912169572
146	0.5909621858
147	0.5908069539
148	0.5903743958
149	0.5900866458
