iter	Passed	Remaining
0	0	112
1	1	106
2	2	101
3	2	101
4	3	104
5	4	106
6	5	105
7	5	101
8	6	100
9	7	102
10	8	101
11	8	99
12	9	97
13	9	96
14	10	94
15	11	94
16	12	93
17	12	93
18	13	92
19	14	91
20	14	90
21	15	89
22	16	88
23	16	87
24	17	87
25	18	86
26	18	85
27	19	84
28	20	84
29	20	83
30	21	82
31	22	82
32	22	81
33	23	80
34	24	80
35	25	79
36	26	79
37	26	79
38	27	78
39	28	77
40	28	76
41	29	75
42	30	74
43	30	74
44	31	73
45	32	72
46	32	72
47	33	71
48	34	70
49	34	69
50	35	68
51	36	68
52	36	67
53	37	66
54	38	66
55	38	65
56	39	64
57	40	63
58	40	63
59	41	62
60	42	61
61	42	60
62	43	60
63	44	59
64	45	59
65	46	58
66	46	58
67	47	57
68	48	56
69	48	55
70	49	55
71	50	54
72	50	53
73	51	53
74	52	52
75	53	51
76	54	51
77	54	50
78	55	49
79	56	49
80	56	48
81	57	47
82	58	46
83	58	46
84	59	45
85	60	45
86	61	44
87	62	43
88	62	43
89	63	42
90	64	41
91	64	40
92	65	40
93	66	39
94	66	38
95	67	37
96	68	37
97	69	36
98	69	35
99	70	35
100	71	34
101	71	33
102	72	33
103	73	32
104	73	31
105	74	30
106	75	30
107	75	29
108	76	28
109	77	28
110	77	27
111	78	26
112	79	25
113	79	25
114	80	24
115	81	23
116	82	23
117	82	22
118	83	21
119	84	21
120	84	20
121	85	19
122	85	18
123	86	18
124	87	17
125	88	16
126	89	16
127	90	15
128	90	14
129	91	14
130	92	13
131	92	12
132	93	11
133	94	11
134	94	10
135	95	9
136	96	9
137	96	8
138	97	7
139	98	7
140	98	6
141	99	5
142	100	4
143	101	4
144	102	3
145	103	2
146	103	2
147	104	1
148	105	0
149	106	0
